original_index,text_column,text,negative,neutral,positive,sentiment,date,year,month
83,Title,spain portugal urge eu effort on power link after blackout,0.46556487679481506,0.016698241233825684,0.5177367925643921,positive,2025-05-21,2025,5
84,Title,sputtering iran us talks revive specter of israeli solo strike,0.28015270829200745,0.34471654891967773,0.375130832195282,neutral,2025-05-21,2025,5
85,Title,starmer signals reversal on divisive cut to winter fuel payments,0.044595856219530106,0.9085792899131775,0.046824824064970016,neutral,2025-05-21,2025,5
86,Title,stock market today dow s p live updates,0.03214000537991524,0.03012199141085148,0.9377379417419434,positive,2025-05-21,2025,5
87,Title,swedish ministers face pressure over undeclared shareholdings,0.008786733262240887,0.9565898180007935,0.03462342917919159,neutral,2025-05-21,2025,5
88,Title,taiwan s central bank says it let currency soar to reset market,0.20273809134960175,0.051953915506601334,0.745307981967926,positive,2025-05-21,2025,5
89,Title,tax bill poised to call for medicaid work requirements in 2026,0.12568694353103638,0.04953707754611969,0.8247759342193604,positive,2025-05-21,2025,5
90,Title,tj maxx operator says it has flexibility to offset tariffs,0.8385547399520874,0.008176100440323353,0.1532691866159439,negative,2025-05-21,2025,5
91,Title,toyota takes all hybrid plunge with its best selling us vehicle,0.8817330598831177,0.022172726690769196,0.0960942953824997,negative,2025-05-21,2025,5
92,Title,traders pare bets on boe cuts pound climbs after uk inflation,0.2865588963031769,0.5715106129646301,0.1419305056333542,neutral,2025-05-21,2025,5
93,Title,treasury yields climb auguring 5 rate for 20 year bond auction,0.5549173355102539,0.35103216767311096,0.09405052661895752,negative,2025-05-21,2025,5
94,Title,trump import tax hike counters income tax relief economists say,0.5893789529800415,0.30206820368766785,0.10855288803577423,negative,2025-05-21,2025,5
95,Title,uae ipo dubai ruler s firm gets 15 billion in orders for reit listing,0.8147676587104797,0.012920426204800606,0.17231199145317078,negative,2025-05-21,2025,5
96,Title,uk inflation rate surges to 15 month high amid april price shock,0.5410831570625305,0.41191548109054565,0.047001320868730545,negative,2025-05-21,2025,5
97,Title,uk s luxury superyacht sales remain strong as smaller boats struggle to sell,0.938408613204956,0.0397847518324852,0.021806707605719566,negative,2025-05-21,2025,5
98,Title,us accepts qatar luxury jet to serve as trump s air force one,0.5771920680999756,0.008146037347614765,0.4146619439125061,negative,2025-05-21,2025,5
99,Title,us china tensions over chips risk hurting trade truce dialogue,0.03058491088449955,0.9107856154441833,0.058629442006349564,neutral,2025-05-21,2025,5
100,Title,us fashion recycling startup to build 500 million plant in france,0.20805254578590393,0.010051156394183636,0.7818962931632996,positive,2025-05-21,2025,5
101,Title,us mortgage rates rise to three month high slowing home demand,0.8005537390708923,0.1456180214881897,0.05382820591330528,negative,2025-05-21,2025,5
102,Title,us treasuries vie for demand with japanese bonds deutsche says,0.7515931129455566,0.18979069590568542,0.05861615017056465,negative,2025-05-21,2025,5
103,Title,why newark airport is a top concern for the summer travel season,0.04700787737965584,0.03377186879515648,0.9192202091217041,positive,2025-05-21,2025,5
104,Title,winners and losers in south africa s third budget attempt,0.1309073269367218,0.11657173931598663,0.7525209188461304,positive,2025-05-21,2025,5
105,Title,zimbabwe lithium exporters seek tax delay until refineries start,0.01934879459440708,0.8582625389099121,0.12238872051239014,neutral,2025-05-21,2025,5
106,Title,argentina signals to investors imf cash to come despite reserves,0.5458758473396301,0.07851120829582214,0.3756129741668701,negative,2025-05-22,2025,5
107,Title,bessent wins g 7 partner plaudits in first conference abroad,0.8856735825538635,0.02477017603814602,0.08955623209476471,negative,2025-05-22,2025,5
108,Title,boe proposes higher charges for weak foreign debt held by banks,0.5710686445236206,0.09085596352815628,0.33807533979415894,negative,2025-05-22,2025,5
109,Title,boe s dhingra says uk services industry was hit hard by brexit,0.019519582390785217,0.9608500599861145,0.019630320370197296,neutral,2025-05-22,2025,5
110,Title,boe s pill questions prominence of forecasts in era of shocks,0.09298315644264221,0.2976384460926056,0.6093783974647522,positive,2025-05-22,2025,5
111,Title,boj dove noguchi sees no need to change jgb tapering plan,0.1837100386619568,0.6317406892776489,0.1845492422580719,neutral,2025-05-22,2025,5
112,Title,bond vigilantes threaten popular hedge fund bet on swap spreads,0.022920235991477966,0.7850999236106873,0.19197990000247955,neutral,2025-05-22,2025,5
113,Title,brazil eases environmental rules ahead of key un climate summit,0.26456785202026367,0.1712239682674408,0.5642082095146179,positive,2025-05-22,2025,5
114,Title,bundesbank backs delay to trading rules for european lenders,0.0986781120300293,0.06675214320421219,0.8345697522163391,positive,2025-05-22,2025,5
115,Title,byd beats tesla in europe for first time with 169 sales surge,0.903157114982605,0.015941981226205826,0.0809009000658989,negative,2025-05-22,2025,5
116,Title,california politicians push 13 bill package to rescue downtowns,0.7254138588905334,0.06703095883131027,0.20755517482757568,negative,2025-05-22,2025,5
117,Title,carney looks to ai for savings as canada s budget pressures mount,0.8480859994888306,0.028428608551621437,0.12348533421754837,negative,2025-05-22,2025,5
118,Title,china asks dutch to ease chips export controls minister says,0.6412639021873474,0.09672587364912033,0.2620101869106293,negative,2025-05-22,2025,5
119,Title,coach bag outlets star on tiktok as tabby brooklyn sales soar,0.8308422565460205,0.027078041806817055,0.1420796811580658,negative,2025-05-22,2025,5
120,Title,computex 2025 five takeaways from asia s biggest ai tech event,0.18042363226413727,0.02209734357893467,0.797478973865509,positive,2025-05-22,2025,5
121,Title,dollar store to boost malaysian ipos with year s biggest listing,0.9248154759407043,0.012326175346970558,0.0628584548830986,negative,2025-05-22,2025,5
122,Title,ecb must stay cautious despite inflation nearing 2 nagel says,0.3915572762489319,0.3096480071544647,0.2987947165966034,neutral,2025-05-22,2025,5
123,Title,ecb s vujcic says inflation is slowly converging to 2 target,0.30383944511413574,0.640709400177002,0.05545122176408768,neutral,2025-05-22,2025,5
124,Title,ecb says water is top nature related risk to european economy,0.16024914383888245,0.01820947788655758,0.8215413689613342,positive,2025-05-22,2025,5
125,Title,ecb to reach 2 inflation relatively quickly guindos says,0.7599694132804871,0.019628094509243965,0.22040240466594696,negative,2025-05-22,2025,5
126,Title,egypt makes second rate cut in a row before summer of reforms,0.38638997077941895,0.31954270601272583,0.2940673232078552,neutral,2025-05-22,2025,5
127,Title,egypt poised for another rate cut before possible summer break,0.22661539912223816,0.4009319543838501,0.37245261669158936,neutral,2025-05-22,2025,5
128,Title,euro zone private sector unexpectedly shrinks on services slump,0.008594021201133728,0.972706139087677,0.01869981177151203,neutral,2025-05-22,2025,5
129,Title,fed s waller offers route to rate cuts in second half of year,0.30692142248153687,0.04518289119005203,0.6478956341743469,positive,2025-05-22,2025,5
130,Title,france urged to ramp up debt cutting push in imf budget warning,0.8647701740264893,0.0341649129986763,0.10106487572193146,negative,2025-05-22,2025,5
131,Title,g 7 draft text warns of excessive imbalances in global economy,0.01828153058886528,0.924720048904419,0.056998416781425476,neutral,2025-05-22,2025,5
132,Title,german business expectations improve as trade fears ease,0.9406308531761169,0.03816526010632515,0.021203912794589996,negative,2025-05-22,2025,5
133,Title,german private sector unexpectedly sinks on services downturn,0.010862481780350208,0.9682959318161011,0.020841559395194054,neutral,2025-05-22,2025,5
134,Title,german wage growth slows sharply as economy struggles to grow,0.008343781344592571,0.9694161415100098,0.02224002219736576,neutral,2025-05-22,2025,5
135,Title,germany says g 7 finance chiefs agree continued ukraine support,0.7357906699180603,0.09993170946836472,0.16427770256996155,negative,2025-05-22,2025,5
136,Title,germany scales up battle tank brigade in baltics to deter russia,0.07313701510429382,0.292886346578598,0.6339766383171082,positive,2025-05-22,2025,5
137,Title,gop tax bill revisions end clean energy credits years earlier,0.053671687841415405,0.10928540676832199,0.8370429277420044,positive,2025-05-22,2025,5
138,Title,hike or cut household goods makers hands tied amid tariff slump,0.09365744143724442,0.7842873930931091,0.12205513566732407,neutral,2025-05-22,2025,5
139,Title,hochul digs in on toll risking federal funds for nyc projects,0.05500447750091553,0.02121558226644993,0.9237799048423767,positive,2025-05-22,2025,5
140,Title,house republicans release trump tax bill with larger salt cap,0.3282422125339508,0.08058888465166092,0.5911689400672913,positive,2025-05-22,2025,5
141,Title,how private equity s use of debt and leverage is being transformed,0.034394241869449615,0.03499522805213928,0.9306105375289917,positive,2025-05-22,2025,5
142,Title,how trump tariffs could affect rba interest rate cuts australia podcast,0.03799191862344742,0.1760469675064087,0.7859610915184021,positive,2025-05-22,2025,5
143,Title,india economic activity retains momentum in may flash pmis show,0.8080040216445923,0.02751489356160164,0.16448107361793518,negative,2025-05-22,2025,5
144,Title,india market buzz midcaps back in spotlight as earnings deliver,0.7723226547241211,0.10888099670410156,0.11879642307758331,negative,2025-05-22,2025,5
145,Title,india s bajaj auto to take control of ktm with 800 million loan,0.08724033087491989,0.009288405068218708,0.9034712910652161,positive,2025-05-22,2025,5
146,Title,india says top maoist rebel killed in major breakthrough,0.05840061604976654,0.7594058513641357,0.1821936070919037,neutral,2025-05-22,2025,5
147,Title,indian banks said to ask rbi to lower daily cash reserve rule,0.03197672590613365,0.73737633228302,0.23064686357975006,neutral,2025-05-22,2025,5
148,Title,indian economy well positioned to navigate headwinds rbi says,0.887763261795044,0.023346779868006706,0.08888997882604599,negative,2025-05-22,2025,5
149,Title,indonesia set for more rate cuts on growth view analysts say,0.5589609146118164,0.25976377725601196,0.18127533793449402,negative,2025-05-22,2025,5
150,Title,ing is said to target us banking charter in fed liquidity push,0.18697713315486908,0.009906369261443615,0.803116500377655,positive,2025-05-22,2025,5
151,Title,jamie dimon says jpmorgan was right to do catl deal despite opposition,0.14200857281684875,0.012434512376785278,0.845556914806366,positive,2025-05-22,2025,5
152,Title,japan could ask state owned firms to buy bonds barclays says,0.08454244583845139,0.011222245171666145,0.904235303401947,positive,2025-05-22,2025,5
153,Title,japan s akazawa to visit us for third round of us trade talks,0.11426696926355362,0.018820052966475487,0.8669129610061646,positive,2025-05-22,2025,5
154,Title,japan s ishiba calls for closer weapons development with allies,0.7891390323638916,0.011745797470211983,0.1991151124238968,negative,2025-05-22,2025,5
155,Title,japan s largest business lobby reports pay hikes exceeding 5,0.15526245534420013,0.8274913430213928,0.017246201634407043,neutral,2025-05-22,2025,5
156,Title,japan s prices rise fastest in two years pressuring boj ishiba,0.8489629626274109,0.10773877799510956,0.04329827427864075,negative,2025-05-22,2025,5
157,Title,jpmorgan s dimon sees risk of stagflation for us economy,0.06243792548775673,0.875343382358551,0.06221872940659523,neutral,2025-05-22,2025,5
158,Title,lagarde says international trade will never be the same again,0.04358536750078201,0.09134288877248764,0.8650717735290527,positive,2025-05-22,2025,5
159,Title,long term bond yields soar globally on fiscal policy fears,0.36483824253082275,0.5755079388618469,0.05965378135442734,neutral,2025-05-22,2025,5
160,Title,macron talks up china ties and touts progress on cognac probe,0.4059291481971741,0.026609253138303757,0.5674616098403931,positive,2025-05-22,2025,5
161,Title,merz says germany will defend against any threat in baltics,0.812204897403717,0.017970461398363113,0.16982467472553253,negative,2025-05-22,2025,5
162,Title,mexico inflation accelerates more than expected as banxico eases,0.9355360865592957,0.03691532835364342,0.027548596262931824,negative,2025-05-22,2025,5
163,Title,milei slashes argentine tax regulations to encourage dollar use,0.05104762315750122,0.8676587343215942,0.08129362761974335,neutral,2025-05-22,2025,5
164,Title,mortgage rates in us rise for second week climbing to 6 86,0.8938103914260864,0.05051790550351143,0.05567171424627304,negative,2025-05-22,2025,5
165,Title,net migration to uk nearly halves as record drop boosts starmer,0.6844332814216614,0.29270532727241516,0.022861452773213387,negative,2025-05-22,2025,5
166,Title,new zealand budget 2025 winners and losers,0.042904194444417953,0.08698174357414246,0.8701140880584717,positive,2025-05-22,2025,5
167,Title,new zealand targets investment with budget tax incentive,0.12185358256101608,0.009980453178286552,0.8681660294532776,positive,2025-05-22,2025,5
168,Title,ny fed s perli sees early signs of pressure in money markets,0.13826555013656616,0.8195844888687134,0.04214994236826897,neutral,2025-05-22,2025,5
169,Title,petronas to work with petros for future projects sarawak says,0.41447776556015015,0.0072053903713822365,0.578316867351532,positive,2025-05-22,2025,5
170,Title,poland says key infrastructure at risk after baltic sea incident,0.04618829861283302,0.8319670557975769,0.12184464931488037,neutral,2025-05-22,2025,5
171,Title,polish presidential hopeful says opposes ukraine joining nato,0.09728546440601349,0.3938891887664795,0.5088253021240234,positive,2025-05-22,2025,5
172,Title,rayner warns uk s target of 1 5 million new homes is a stretch,0.4003909230232239,0.22428247332572937,0.37532657384872437,neutral,2025-05-22,2025,5
173,Title,rba s hauser sees us china trade dispute aiding australian firms,0.8836855888366699,0.047308869659900665,0.069005586206913,negative,2025-05-22,2025,5
174,Title,real sells off as brazil taxes remittances to shore up budget,0.1956653743982315,0.7494194507598877,0.054915156215429306,neutral,2025-05-22,2025,5
175,Title,ringgit may gain most in southeast asia on exporter conversion,0.9351024627685547,0.015966294333338737,0.04893123358488083,negative,2025-05-22,2025,5
176,Title,romania s new leader sees weeks of talks to agree on budget fix,0.27656593918800354,0.14150817692279816,0.5819258689880371,positive,2025-05-22,2025,5
177,Title,sanchez pushes ahead with plan to tax non eu home buyers 100,0.4233670234680176,0.02022138051688671,0.5564115643501282,positive,2025-05-22,2025,5
178,Title,saudi arabia s neom hydrogen project faces uncertainty over demand,0.015981104224920273,0.9228580594062805,0.06116091087460518,neutral,2025-05-22,2025,5
179,Title,sheinbaum says she talked steel tariffs in latest trump call,0.1533469408750534,0.07551691681146622,0.7711361646652222,positive,2025-05-22,2025,5
180,Title,singapore dpm says holding geopolitical neutrality not possible,0.024465151131153107,0.05782686546444893,0.9177079796791077,positive,2025-05-22,2025,5
181,Title,singapore kicks off 2025 on strong note flags downside risks,0.8463786840438843,0.09976102411746979,0.05386035889387131,negative,2025-05-22,2025,5
182,Title,some ecb officials saw april rate cut as frontloading june move,0.06190697103738785,0.7524428963661194,0.18565012514591217,neutral,2025-05-22,2025,5
183,Title,sony life mulls selling japan bonds to avoid writing down losses,0.020172040909528732,0.6571140885353088,0.3227138817310333,neutral,2025-05-22,2025,5
184,Title,south africa expects us reset despite white house confrontation,0.3252662122249603,0.5469793081283569,0.12775450944900513,neutral,2025-05-22,2025,5
185,Title,south africa to provide 2 8 billion guarantee to transnet,0.7444332838058472,0.007623253855854273,0.2479434609413147,negative,2025-05-22,2025,5
186,Title,sri lanka unexpectedly cuts key rate to bolster recovery,0.14219175279140472,0.7825257778167725,0.07528247684240341,neutral,2025-05-22,2025,5
187,Title,starmer and top aide clash over 2 5 billion child benefit cap,0.11257076263427734,0.3685731887817383,0.5188560485839844,positive,2025-05-22,2025,5
188,Title,startup builder ai overestimated sales by 300 to key creditors,0.5996719002723694,0.36606937646865845,0.03425876051187515,negative,2025-05-22,2025,5
189,Title,steven englander on why interest rates are shooting up all around the world,0.18403360247612,0.07672502100467682,0.739241361618042,positive,2025-05-22,2025,5
190,Title,stock market today dow s p live updates,0.03214000537991524,0.03012199141085148,0.9377379417419434,positive,2025-05-22,2025,5
191,Title,strong earthquake strikes north of crete no major damage,0.07424483448266983,0.6869419813156128,0.23881317675113678,neutral,2025-05-22,2025,5
192,Title,supreme court backs trump s ouster of agency leaders for now,0.11431577801704407,0.5674949288368225,0.31818926334381104,neutral,2025-05-22,2025,5
193,Title,telecom argentina sells debt amid telefonica takeover scrutiny,0.021901963278651237,0.8851419687271118,0.09295602142810822,neutral,2025-05-22,2025,5
194,Title,thai court orders ex premier yingluck to pay 306 million fine reports,0.021998146548867226,0.9190869927406311,0.05891485512256622,neutral,2025-05-22,2025,5
195,Title,top indian oil producer s quarterly earnings miss estimates,0.01636691763997078,0.9497216939926147,0.0339113287627697,neutral,2025-05-22,2025,5
196,Title,trump s ambush of ramaphosa leaves south africa reeling,0.05288109555840492,0.4194096624851227,0.5277091860771179,positive,2025-05-22,2025,5
197,Title,trump s next hurdle the bond market hates his beautiful bill,0.030855143442749977,0.6755895614624023,0.29355528950691223,neutral,2025-05-22,2025,5
198,Title,trump s research funding cuts create job drought for scientists,0.010582081973552704,0.9675338864326477,0.02188394032418728,neutral,2025-05-22,2025,5
199,Title,trump s south africa white genocide land grab claims what to know,0.023532571271061897,0.055764976888895035,0.9207023978233337,positive,2025-05-22,2025,5
200,Title,trump s tax cuts what s in his big beautiful bill,0.13622577488422394,0.020270222797989845,0.843504011631012,positive,2025-05-22,2025,5
201,Title,trump tax bill narrowly passes house overcoming gop infighting,0.5809678435325623,0.146835595369339,0.27219659090042114,negative,2025-05-22,2025,5
